Title,Author,Publication date,Publisher,Language,Pages,Editions,Rating,Aggregate approval,Want to read,Currently reading,Have read
David Balfour,Robert Louis Stevenson,0.7406873226716523,"Creative Media Partners, LLC",English,0.9105287191730959,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Ray's Daughter,Charles King,0.6971070652449679,"Creative Media Partners, LLC",English,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Hudson river bracketed,Edith Wharton,-0.5667204001288813,D. Appleton and Company,English,1.4939434052032652,-0.11505394163486728,4.0,-0.11961924117722136,-0.11654375376067362,-0.12708801542839973,-0.19681643602172674
The witch in the wood,T. H. White,-0.42145287537326637,G. P. Putnam's sons,English,-0.11739239430863106,-0.11505394163486728,3.0,-0.18670885970693943,-0.11311073311478594,-0.12708801542839973,-0.23395557755137106
Essays: First Series,Ralph Waldo Emerson,-1.33663828133364,"Houghton, Mifflin",English,6.260288420793835e-17,-0.10379645898651477,5.0,-0.1598730122950522,-0.11654375376067362,-0.12708801542839973,-0.23395557755137106
Vittorio the Vampire,Anne Rice,0.4501522731604226,Alfred A. Knopf,English,0.010403203583691751,-0.11505394163486728,5.0,-0.1598730122950522,-0.006687093092267637,-0.012788641123809825,-0.011120728373505239
Lucia in London,E. F. Benson,0.23225098602700037,Black Swan,English,-0.13961771568120895,-0.11505394163486728,0.0,-0.22696263082477028,-0.1199767744065613,-0.06993832827610479,-0.23395557755137106
Child of Storm.,H. Rider Haggard,-0.799148439737865,Cassell,,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
The puppet masters,Robert A. Heinlein,0.18867072860031592,New English Library,English,6.260288420793835e-17,-0.11505394163486728,5.0,-0.1598730122950522,-0.034151258259369134,-0.06993832827610479,-0.011120728373505239
"Kavanagh, a tale.",Henry Wadsworth Longfellow,-1.7288605981738,"Ticknor, Reed, and Fields",,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
The People that Time Forgot,Edgar Rice Burroughs,0.5373127880137916,Cosimo Classics,English,-0.9008349726920013,-0.11505394163486728,3.0,-0.18670885970693943,-0.1199767744065613,-0.12708801542839973,-0.23395557755137106
Mephisto,Klaus Mann,0.13056371869806999,Random House,English,-0.1507303763674979,-0.11505394163486728,4.0,-0.11961924117722136,-0.08907958859357212,-0.012788641123809825,-0.19681643602172674
The high place,James Branch Cabell,-0.6538809149822501,R. M. McBride & company,English,0.12152981044658115,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Dancer from the dance,Andrew Holleran,0.14509047117363147,Morrow,English,-0.22296267082837598,-0.11505394163486728,4.5,-0.10620131747127774,0.10660258822202603,-0.012788641123809825,-0.12253815296243814
Spanish Novels,Paco Ardit,0.6971070652449679,Independently Published,Spanish,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1199767744065613,-0.12708801542839973,-0.27109471908101535
